date, pm25, pm10, o3, no2, so2, co
2024/1/25, 98, 54, 3, 37, 1, 
2024/1/26, 106, 49, 8, 32, , 
2024/1/27, 108, 42, 25, 16, , 
2024/1/28, 107, 23, 21, 18, , 
2024/1/29, 54, 23, 22, 20, , 
2024/1/30, 52, 27, 18, 17, , 
2024/1/31, 61, 43, 12, 25, , 
2024/2/1, 82, 48, 8, 25, , 
2024/2/2, 87, 41, 19, 20, , 
2024/2/3, 77, 34, 15, 26, , 
2024/2/4, 70, 43, 13, 29, 1, 
2024/2/5, 77, 39, 22, 24, , 
2024/2/6, 79, 47, 15, 20, , 
2024/2/7, 97, 47, 16, 15, , 
2024/2/8, 73, 40, 17, 16, , 
2024/2/9, 63, 25, 24, 8, , 
2024/2/10, 51, 11, 24, 5, , 
2024/2/11, 21, 17, 21, 15, , 
2024/2/12, 28, 17, 18, 18, , 
2024/2/13, 31, 32, 13, 32, 1, 
2024/2/14, 61, 35, 16, 22, 1, 
2024/2/15, 69, 22, 21, 19, , 
2024/2/16, 51, 15, 16, 17, , 
2024/2/17, 38, 16, 24, 13, , 
2024/2/18, 41, 28, 17, 29, 1, 
2024/2/19, 59, 33, 22, 23, , 
2024/2/20, 64, 30, 28, 18, , 
2024/2/21, 56, 36, 24, 20, , 
2024/2/22, 69, 29, 25, 13, , 
2024/2/23, 56, 13, 25, 10, , 
2024/2/24, 21, 14, 24, 12, 1, 
2024/2/25, 30, 20, 19, 18, 1, 
2024/2/26, 38, 19, 19, 15, 1, 
2024/2/27, 28, 19, 19, 17, 1, 
2024/2/28, 26, 22, 23, 21, 1, 
2024/2/29, 31, 19, 23, 13, 1, 
2024/3/1, 29, 24, 30, 12, 2, 
2024/3/2, 40, 17, 29, 6, 2, 
2024/3/3, 31, 17, 27, 15, 2, 
2024/3/4, 23, 22, 22, 23, 2, 
2024/3/5, 43, 20, 24, 19, 2, 
2024/3/6, 39, 21, 27, 21, 2, 
2024/3/7, 44, 18, 29, 13, 1, 
2024/3/8, 35, 20, 24, 12, , 
2024/3/9, 42, 11, 26, 9, 1, 
2024/3/10, 25, 7, 24, 10, 1, 
2024/3/11, 15, 11, 26, 13, 1, 
2024/3/12, 23, 18, 28, 23, 1, 
2024/3/13, 39, 21, 33, 19, 1, 
2024/3/14, 45, 20, 28, 16, 1, 
2024/3/15, 50, 31, 33, 25, , 
2024/3/16, 71, 29, 30, 20, , 
2024/3/17, 68, 38, 17, 21, , 
2024/3/18, 89, 33, 24, 29, , 
2024/3/19, 64, 22, 28, 20, , 
2024/3/20, 55, 20, 26, 14, 1, 
2024/3/21, 49, 45, 24, 33, 1, 
2024/3/22, 73, 39, 29, 16, 1, 
2024/3/23, 63, 24, 26, 10, , 
2024/3/24, 45, 16, 26, 16, , 
2024/3/25, 35, 14, 25, 11, , 
2024/3/26, 32, 15, 26, 9, , 
2024/3/27, 23, 22, 30, 8, , 
2024/3/28, 41, 33, 31, 6, , 
2024/3/29, 60, 27, 35, 6, , 
2024/3/30, 46, 17, 32, 7, , 
2024/3/31, 34, 9, 32, 8, , 
2023/10/1, 54, 21, 31, 18, , 
2023/10/2, 56, 21, 26, 15, , 
2023/10/3, 51, 23, 26, 10, , 
2023/10/4, 49, 34, 24, 17, 1, 
2023/10/5, 59, 36, 23, 19, , 
2023/10/6, 73, 35, 32, 17, , 
2023/10/7, 76, 31, 28, 16, 1, 
2023/10/8, 71, 34, 27, 15, 1, 
2023/10/9, 61, 35, 28, 17, 2, 
2023/10/10, 59, 30, 26, 20, 3, 
2023/10/11, 54, 22, 32, 10, 3, 
2023/10/12, 53, 27, 30, 14, 2, 
2023/10/13, 55, 30, 27, 13, 3, 
2023/10/14, 60, 31, 17, 16, 2, 
2023/10/15, 60, 20, 18, 17, 3, 
2023/10/16, 41, 22, 18, 19, 3, 
2023/10/17, 50, 37, 17, 24, 2, 
2023/10/18, 64, 33, 20, 19, , 
2023/10/19, 48, 19, 23, 9, , 
2023/10/20, 22, 12, 24, 8, , 
2023/10/21, 17, 9, 25, 14, , 
2023/10/22, 20, 34, 26, 18, , 
